id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,postcode,rich,borough,before_pandemic
18359115,LOVELY APARTMENT IN BEST LOCATION !,43887030,Anastasia,Upper East Side,40.76765,-73.95506999999999,Entire home/apt,145.0,10,4,2019-04-19,0.16,1,0,10021,1.0,Manhattan,1
18444575,"Bright, open 1BD in the heart of Nolita",5945526,Mimi,Little Italy,40.72002,-73.99629,Entire home/apt,150.0,3,12,2019-01-01,0.47,1,0,10013,1.0,Manhattan,1
18599296,Comfy Entire Studio Apartment Near Central Park,1692538,Nuttamon,Upper East Side,40.772940000000006,-73.95351,Entire home/apt,168.0,1,126,2019-04-02,4.78,5,287,10075,1.0,Manhattan,1
18628912,Unique Upper East Side apartment with backyard,27789935,Tim And Allison,Upper East Side,40.77568,-73.95405,Entire home/apt,170.0,1,20,2019-01-01,0.77,1,0,10028,1.0,Manhattan,1
18635942,Beautiful Studio Apartment on the E70th St,55814053,Maria,Upper East Side,40.7672,-73.95495,Entire home/apt,120.0,1,89,2019-06-22,3.43,1,9,10021,1.0,Manhattan,1
18646653,Upper East Side 1 bedroom near Central park,33786241,Sean,Upper East Side,40.774809999999995,-73.95640999999999,Entire home/apt,123.0,3,32,2019-05-27,1.22,1,4,10028,1.0,Manhattan,1
18690921,PRIME LOCATION/SUNLIT ROOM,129927411,Andrea,Little Italy,40.71886,-73.99746,Private room,110.0,1,166,2019-06-21,6.37,2,71,10013,1.0,Manhattan,1
18840866,Private Room with Private Bath Upper East Side,19424541,Barbara,Upper East Side,40.76749,-73.96246,Private room,190.0,1,15,2019-05-24,0.68,2,63,10065,1.0,Manhattan,1
18944834,Huge private bedroom in the heart of Manhattan,5295202,Uly,Upper East Side,40.763870000000004,-73.9618,Private room,115.0,2,42,2019-06-29,1.69,1,38,10065,1.0,Manhattan,1
18957522,Entire One Bedroom Apt-Great Location In Manhattan,37100193,Michelle,Midtown,40.75452,-73.96634,Entire home/apt,122.0,1,120,2019-06-21,5.03,1,220,10022,1.0,Manhattan,1
19054757,Spaceful studio in the heart of Financial district,133010064,Alena,Financial District,40.70857,-74.01005,Entire home/apt,140.0,2,76,2019-07-01,3.02,1,0,10005,1.0,Manhattan,1
19134112,Clean and Cozy 1br Home in heart of Soho/Nolita,16308791,Sara,Little Italy,40.717690000000005,-73.99854,Entire home/apt,236.0,2,55,2019-06-24,2.24,1,314,10013,1.0,Manhattan,1
19163623,Cozy Lodge Chic in the heart of New York.,115256,Nicholas,Upper East Side,40.7699,-73.95692,Entire home/apt,125.0,3,44,2019-02-11,1.8,1,0,10021,1.0,Manhattan,1
19182044,Perfect Penthouse Duplex,84126420,Sk,Chelsea,40.75112,-73.99605,Entire home/apt,399.0,3,44,2019-07-05,2.4,1,112,10018,1.0,Manhattan,1
19190579,"Charming, Sleek UES Studio",9649691,Deaton,Upper East Side,40.76715,-73.95857,Entire home/apt,118.0,3,29,2019-07-06,1.15,1,0,10021,1.0,Manhattan,1
19221008,Great room in Upper East Side 85th/3av,99349134,Tupac,Upper East Side,40.77713,-73.95277,Private room,75.0,1,9,2019-06-23,0.4,2,119,10028,1.0,Manhattan,1
19290380,Cozy gem in the  heart of TriBeca!!,134887663,Luis,Tribeca,40.71863,-74.0117,Entire home/apt,220.0,2,76,2019-06-26,3.04,1,127,10282,1.0,Manhattan,1
19296358,"Private room in midtown Manhattan曼哈顿中心 位于地狱厨房,位置棒棒",135131537,Laura,Hell's Kitchen,40.75743,-73.99638,Private room,69.0,3,80,2019-06-12,3.7,2,16,10018,1.0,Manhattan,1
19304453,Convenient Midtown Private 1 Bedroom,11035230,Mel,Hell's Kitchen,40.75544,-73.99406,Entire home/apt,100.0,1,13,2019-02-17,0.52,1,0,10018,1.0,Manhattan,1
19313483,"Madison Ave BR Steps from Central Park, east 60s",26691429,Camilla,Upper East Side,40.76892,-73.96906,Private room,115.0,1,56,2019-06-22,3.03,1,325,10065,1.0,Manhattan,1
19343700,Modern Upper East Side Apartment near Central Park,135522817,Shaun,Upper East Side,40.77412,-73.95695,Entire home/apt,198.0,1,143,2019-06-15,5.91,1,300,10075,1.0,Manhattan,1
19404818,Bright Quiet Airy Tribeca Loft,374115,Victoria,Tribeca,40.72403,-74.00858000000001,Entire home/apt,200.0,2,7,2019-05-26,0.29,1,0,10013,1.0,Manhattan,1
19524083,The Riverside - One Bedroom Apartment,137068370,William,Upper West Side,40.77969,-73.98747,Entire home/apt,200.0,2,33,2019-06-09,1.36,1,250,10069,1.0,Manhattan,1
19550419,LARGE Luxury Private Room 5 mins from Times Sq,21496186,Richard,Midtown,40.751709999999996,-73.98642,Private room,129.0,3,18,2019-04-07,0.73,2,0,10018,1.0,Manhattan,1
19554598,Modern & Trendy 2-Bedroom 1 Bath Lower Manhattan,17131554,Alex,Little Italy,40.718090000000004,-73.99811,Entire home/apt,220.0,1,128,2019-06-22,5.28,1,239,10013,1.0,Manhattan,1
19577620,"2 Story Penthouse | Private Floor, Bed, & Bath",16652171,Erik,Upper West Side,40.78413,-73.97779,Private room,94.0,2,65,2019-07-04,2.69,1,54,10024,1.0,Manhattan,1
19703922,NYC 1-bedroom apartment on the UES,2262180,Andrew,Upper East Side,40.76651,-73.95155,Entire home/apt,145.0,2,33,2019-06-29,2.55,1,267,10021,1.0,Manhattan,1
19708955,Good Vibes Tribeca Loft,136729912,Karen,Tribeca,40.72227,-74.00804000000001,Entire home/apt,700.0,4,12,2019-01-01,0.62,1,124,10013,1.0,Manhattan,1
19721906,"1 month min, Cozy Midtown East/UES studio!",10440694,Gia,Upper East Side,40.76212,-73.96358000000001,Entire home/apt,150.0,30,88,2019-06-22,3.67,1,3,10065,1.0,Manhattan,1
19734117,"UES: Bdrm Sunny Corner Apt, 3 flights of stairs up",139135366,Eileen,Upper East Side,40.768640000000005,-73.95427,Entire home/apt,175.0,2,20,2019-06-15,0.88,1,0,10021,1.0,Manhattan,1
19750905,Live like a local in the heart of Manhattan,37688229,Roxana,Midtown,40.75568,-73.96798000000001,Entire home/apt,79.0,6,8,2019-06-21,0.35,1,15,10022,1.0,Manhattan,1
19803462,Beauty of New York!,139871790,Reisha,Upper East Side,40.763009999999994,-73.95719,Entire home/apt,123.0,3,26,2019-05-29,1.08,1,0,10065,1.0,Manhattan,1
19841625,Cozy Studio Upper East Side,30868859,Moheb,Upper East Side,40.77625,-73.95208000000001,Entire home/apt,125.0,5,36,2019-05-02,1.56,1,0,10028,1.0,Manhattan,1
19908088,Luxury Apartment in NYC Financial District,140983856,Nini,Financial District,40.70492,-74.00797,Entire home/apt,199.0,10,36,2019-06-13,1.52,2,297,10005,1.0,Manhattan,1
19964849,Modern large 2 bedroom steps from Central Park!,45752004,Rebecca,Upper East Side,40.77285,-73.95566,Entire home/apt,795.0,2,9,2019-07-02,0.42,1,268,10075,1.0,Manhattan,1
19969420,Bright Private Bedroom by Wall Street,27186594,Glenna,Financial District,40.70743,-74.00785,Private room,87.0,2,10,2019-05-05,0.43,1,0,10005,1.0,Manhattan,1
19993470,Classic Manhattan Loft Apartment,114867228,Peter And Helen,NoHo,40.73,-73.99253,Entire home/apt,137.0,14,17,2019-06-18,0.83,1,233,10013,1.0,Manhattan,1
19998918,Prime Upper East Side Studio,141910666,Jennifer,Upper East Side,40.770579999999995,-73.95666,Entire home/apt,197.0,4,11,2019-05-31,0.47,1,16,10021,1.0,Manhattan,1
20033157,"Large, bright bdr in a luxury bdg in Mid East",57328653,Esther,Midtown,40.75734,-73.96429,Private room,82.0,15,3,2019-04-29,1.02,2,0,10022,1.0,Manhattan,1
20049857,Pre-War Brownstone 2 Blocks from Central Park,142442839,Elizabeth,Upper West Side,40.78561,-73.97636999999999,Entire home/apt,299.0,3,57,2019-06-30,2.57,1,116,10024,1.0,Manhattan,1
20089597,Time Square Private Studio,51445545,Jake,Midtown,40.75347,-73.98567,Entire home/apt,179.0,2,117,2019-06-20,4.94,1,235,10018,1.0,Manhattan,1
20121308,Spacious room w/Private Roof Deck in Shared Apt,118883025,Apeksha,Upper West Side,40.78182,-73.97915,Private room,120.0,1,141,2019-06-30,5.94,1,231,10024,1.0,Manhattan,1
